address,enrolled2012chron,enrolled2012ord,enrolled2012sop,enrolled2012wg,enrolled2013chron,enrolled2013ord,enrolled2013sop,enrolled2013wg,enrolled2014chron,enrolled2014ord,enrolled2014sop,enrolled2014wg,enrolled2015chron,enrolled2015ord,enrolled2015sop,enrolled2015wg,enrolled2016chron,enrolled2016ord,enrolled2016sop,enrolled2016wg,enrolled2017chron,enrolled2017ord,enrolled2017sop,enrolled2017wg,enrolled2018chron,enrolled2018ord,enrolled2018sop,enrolled2018wg,kg,region,webpage
"гр.София,  ул. ""Презвитер Kозма"", №2",1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 122 ОУ ""Николай Лилиев"" (полудневна организация)",Лозенец,https://kg.sofia.bg/isodz/dz/433;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"с.Доброславци,  ул. ""Площад Мегдана"", №1",0,3,1,0,0,4,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,2,0,0,0,0,0,0,ДГ №121 - филиал с. Доброславци,Нови Искър,https://kg.sofia.bg/isodz/dz/217;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.Нови Искър,  кв. Кумарица,  ул. ""Искърско дефиле"", № 73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №121 - почасова организация,Нови Искър,https://kg.sofia.bg/isodz/dz/342;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.Нови Искър,  кв. Кумарица,  ул. ""Искърско дефиле"", № 73",0,30,0,0,9,34,0,0,9,34,0,0,1,35,0,0,2,26,0,0,0,17,0,0,0,0,0,0,ДГ №121  (с яслени групи),Нови Искър,https://kg.sofia.bg/isodz/dz/146;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Георги Измирлиев"", №24",0,19,1,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 121 СУ ""Георги Измирлиев"" (полудневна организация)",Триадица,https://kg.sofia.bg/isodz/dz/432;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Позитано"", № 125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №120 Детство под липите - почасова организация,Възраждане,https://kg.sofia.bg/isodz/dz/341;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Позитано"", № 125",4,28,0,0,3,26,0,2,5,23,1,1,7,32,0,0,4,35,0,0,0,11,0,0,0,0,0,0,ДГ №120 Детство под липите (с яслени групи),Възраждане,https://kg.sofia.bg/isodz/dz/173;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Брегалница"", № 26",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №119 Детска планета - почасова организация,Възраждане,https://kg.sofia.bg/isodz/dz/340;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Брегалница"", № 26",1,26,0,0,1,24,0,0,5,25,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №119 Детска планета (с яслени групи),Възраждане,https://kg.sofia.bg/isodz/dz/183;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Гюешево"" № 78 ",14,40,1,0,1,47,1,0,6,26,0,0,9,51,0,0,5,20,0,0,0,0,0,0,0,0,0,0,ДГ №119 Детска планета - сграда 2,Възраждане,https://kg.sofia.bg/isodz/dz/163;jsessionid=B61DA1F6877670D965AC9BEF814AC209
" ж.к. ""Младост 1"", ул. ""Димитър Моллов"" №9 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №117 Надежда - почасова организация,Младост,https://kg.sofia.bg/isodz/dz/485;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Тайга"" № 29 ",2,25,1,0,1,29,0,0,4,25,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №118 Усмивка,Сердика,https://kg.sofia.bg/isodz/dz/150;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж.к. ""Младост 1"", ул. ""Димитър Моллов"" №9 ",2,35,5,0,4,29,1,0,7,51,1,0,8,49,1,0,5,20,0,0,0,0,0,0,0,0,0,0,ДГ №117 Надежда (с яслени групи),Младост,https://kg.sofia.bg/isodz/dz/96;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Симеон Радев"", №73А",8,16,0,0,0,0,0,0,11,20,0,0,0,0,0,0,2,8,0,3,1,9,0,0,0,0,0,0,ДГ №116 Мусала - сграда Гърдова глава,Витоша,https://kg.sofia.bg/isodz/dz/301;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  бул. Бр. Бъкстон, бл. 45",0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №116 Мусала - сграда бул. Бр. Бъкстон,Витоша,https://kg.sofia.bg/isodz/dz/224;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""8-ми март"", №15",9,16,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,45,0,0,2,29,0,0,0,0,0,0,ДГ №115 Осми март - сграда ул. 8-ми март 15,Надежда,https://kg.sofia.bg/isodz/dz/259;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""8-ми март"", №28",0,0,0,0,3,22,0,0,3,28,0,0,2,19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,ДГ №115 Осми март (с яслени групи),Надежда,https://kg.sofia.bg/isodz/dz/99;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  Горни Порой , №2",16,12,0,0,7,19,0,1,4,27,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №115 Осми март - сграда Връбница,Надежда,https://kg.sofia.bg/isodz/dz/24;jsessionid=B61DA1F6877670D965AC9BEF814AC209
